Deposit,Harvest,Lock,Unlock,Withdraw,amount,duration,gasUsed,lockedAmount,lockedDuration,shares,x1,x2
0.0,0.0,0.0,1.0,0.0,0.5253424158870366,-1.0,-0.7764263487446135,-1.0,-1.0,-1.0,0.8011630702361328,-0.9648454744476188
0.0,0.0,0.0,0.0,1.0,0.5511775869196678,-1.0,-0.8689460914307903,-1.0,-1.0,0.5010662158468187,0.8463502131206135,-0.8406331114669522
0.0,0.0,0.0,1.0,0.0,0.5501370378029873,-1.0,-0.797458098649981,-1.0,-1.0,-1.0,0.8090215819263125,-0.9650439108949405
0.0,0.0,0.0,1.0,0.0,0.5827608968499369,-1.0,-0.8627724685922904,-1.0,-1.0,-1.0,0.8257448882811107,-0.9657087810332077
0.0,1.0,0.0,0.0,0.0,0.5714237560037407,-1.0,-0.7764133333767179,-1.0,-1.0,-1.0,0.807221811171904,-0.9647417258212172
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7929265813943147,0.6941758770304187,0.9999987316083208,0.7361943314481774,0.9581183757835168,0.7132449659196792
0.0,1.0,0.0,0.0,0.0,0.5597531947692007,-1.0,-0.8689460914307903,-1.0,-1.0,-1.0,0.8243590867209254,-0.9658217339721527
1.0,0.0,0.0,0.0,0.0,0.10413000228795566,-0.13796898782343991,-0.7929395967622104,-1.0,-1.0,0.6088452238001147,-0.2369249670632378,-0.9299445931699136
1.0,0.0,0.0,0.0,0.0,0.33125516263145616,-1.0,-0.8208369532325293,-1.0,-1.0,0.28793333117203157,0.7829945947932713,-0.8960875561689642
0.0,1.0,0.0,0.0,0.0,0.5748865209495719,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.8330726178165002,-0.9662001436899916
0.0,0.0,0.0,1.0,0.0,0.5810250114823663,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.833691753978166,-0.9661879925586563
0.0,1.0,0.0,0.0,0.0,0.560516316114972,-1.0,-0.797458098649981,-1.0,-1.0,-1.0,0.8103271501828337,-0.9650210240404317
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.6853860195425749,0.5205695486337552,1.0,0.5684147380113744,0.9569686810451454,0.7091927846097986
1.0,0.0,0.0,0.0,0.0,0.49746862355255606,1.0,-0.6853730041746793,-1.0,-1.0,0.5500903758096125,-0.8420731775509763,-0.9170758910047664
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.8020091389574907,0.6673056206467809,0.82244133688483,0.7072687743154689,0.9640629397991611,0.6490465573202722
0.0,0.0,0.0,0.0,1.0,0.5160326996062636,-1.0,-0.8420953874620791,-1.0,-1.0,0.4670475927632529,0.8320688353157735,-0.8513418462970137
1.0,0.0,0.0,0.0,0.0,0.10413000228795566,0.854328259766616,-0.7766573715247612,-1.0,-1.0,0.6809643924125579,-0.8320749601898942,-0.9323917326819401
0.0,1.0,0.0,0.0,0.0,0.5458655060360553,-1.0,-0.8871686910986815,-1.0,-1.0,-1.0,0.8261840809948513,-0.9660373742020402
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7764263487446135,0.5957512728538177,-0.8082191780821918,0.5755843274116905,0.9211660826598451,-0.1540773230202922
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.6853990349104706,0.4908376888635353,0.8410958904109589,0.5370468362738732,0.9624713800252053,0.6500938436672816
0.0,1.0,0.0,0.0,0.0,0.6156312679383715,-1.0,-0.792913566026419,-1.0,-1.0,-1.0,0.8161185919483958,-0.9648370620916751
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.8209584299995554,0.7521112775147223,-0.5013698630136987,0.7510374677548961,0.9470786296837231,0.027247364350614558
1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.7090045738172013,-1.0,-1.0,0.4839505100140229,-0.9285898383499872,-0.9394129521449898
1.0,0.0,0.0,0.0,0.0,0.388491108122746,1.0,-0.6853730041746793,-1.0,-1.0,0.4445115704037297,-0.8551414317369824,-0.9207055188113733
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7929395967622104,0.5262329801957015,0.9999986047691527,0.5739073983781879,0.9633678855128868,0.686049542292007
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7929395967622104,0.6677335919560146,0.9999996829020801,0.7106528502379768,0.9591165821030012,0.7090318163478588
1.0,0.0,0.0,0.0,0.0,0.44240775038522573,-1.0,-0.802035169693282,-1.0,-1.0,0.5702697459453352,0.8097063240671215,-0.8243161179513289
1.0,0.0,0.0,0.0,0.0,0.10413000228795566,-0.753025431253171,-0.7194255450456459,-1.0,-1.0,0.7736073643437669,0.5224741841641852,-0.8244373419196579
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.8020221543253864,0.7064406265315755,-0.6526691400304414,0.6966675608953765,0.9361607931541303,-0.03887867643287367
1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.402736611575488,-0.9676976178745125
1.0,0.0,0.0,0.0,0.0,0.5331208108703036,1.0,-0.6853599888067836,-1.0,-1.0,0.5846433319923872,-0.8370323472176191,-0.9157814867537413
0.0,1.0,0.0,0.0,0.0,0.5506628441480306,-1.0,-0.4931305972860789,-1.0,-1.0,-1.0,0.7231145647283372,-0.9604095951041047
0.0,0.0,0.0,1.0,0.0,0.5749681731784655,-1.0,-0.8880548207295764,-1.0,-1.0,-1.0,0.8294481042264813,-0.965989123170031
1.0,0.0,0.0,0.0,0.0,0.49846214596222516,-0.8849315068493151,-0.6854120502783662,-1.0,-1.0,0.475384449655919,0.6886762712417102,-0.8705391844809002
1.0,0.0,0.0,0.0,0.0,0.497418879885414,-1.0,-0.5056784965514698,-1.0,-1.0,0.4489820917372236,0.6865547828227785,-0.8543782175429042
0.0,1.0,0.0,0.0,0.0,0.56336192463759,-1.0,-0.6854120502783662,-1.0,-1.0,-1.0,0.784639234458768,-0.9635550604969052
1.0,0.0,0.0,0.0,0.0,-1.0,-0.6164383561643836,-0.7974711140178766,-1.0,-1.0,0.5776000788000599,-0.045272449721552366,-0.904662341932507
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7090045738172013,0.5963573525859518,1.0,0.641620234753179,0.9562912312217596,0.715487082955059
0.0,1.0,0.0,0.0,0.0,0.5506628441480306,-1.0,-0.5582453982539883,-1.0,-1.0,-1.0,0.7455848812778755,-0.9615928920789244
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7929265813943147,0.5378163661760444,0.9999987316083208,0.5850904273772399,0.963082811145832,0.6879701702047507
1.0,0.0,0.0,0.0,0.0,-1.0,-0.9616438356164384,-0.8209584299995554,-1.0,-1.0,0.6257171122820693,0.45165486839628105,-0.8486484853067455
0.0,1.0,0.0,0.0,0.0,0.6204829758918351,-1.0,-0.7447773124783755,-1.0,-1.0,-1.0,0.8066789176468507,-0.9642156344375526
1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.402736611575488,-0.9676976178745125
1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.402736611575488,-0.9676976178745125
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7929395967622104,0.6186261578860874,0.9999994292237442,0.6631870771392083,0.9607913390438731,0.7011518778709362
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.6853730041746793,0.665579179240142,1.0,0.7085445391419187,0.9520864356280827,0.7302770049142406
0.0,1.0,0.0,0.0,0.0,0.5935715477946928,-1.0,-0.8689460914307903,-1.0,-1.0,-1.0,0.8280246682999733,-0.9657515030216662
0.0,1.0,0.0,0.0,0.0,0.6181186575573108,-1.0,-0.701668244780024,-1.0,-1.0,-1.0,0.7966133892701603,-0.9636340842650645
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7356947549151995,0.4252852313548252,0.9999992389649923,0.47630158836178227,0.962141359713051,0.6831737362195107
0.0,1.0,0.0,0.0,0.0,0.6129713035277162,-1.0,-0.8020221543253864,-1.0,-1.0,-1.0,0.8176154551315091,-0.9649532889896917
1.0,0.0,0.0,0.0,0.0,0.5011623183954996,-0.9030867579908676,-0.7929005506585234,-1.0,-1.0,0.580555479081579,0.7604186164762096,-0.8407482683220423
1.0,0.0,0.0,0.0,0.0,0.5302226671277579,-1.0,-0.8020091389574907,-1.0,-1.0,0.6820088036787093,0.8285991749836614,-0.7818481714546623
0.0,1.0,0.0,0.0,0.0,0.48929283401471135,-1.0,-0.8689460914307903,-1.0,-1.0,-1.0,0.816283818194717,-0.9659547454568401
0.0,1.0,0.0,0.0,0.0,0.48449549590273633,-1.0,-0.5056784965514698,-1.0,-1.0,-1.0,0.7131961232896373,-0.9608779800228852
1.0,0.0,0.0,0.0,0.0,0.10413000228795566,0.6276005834601726,-0.7929265813943147,-1.0,-1.0,0.6856424612542718,-0.7635312532302407,-0.9367018894332999
1.0,0.0,0.0,0.0,0.0,0.5773285746970791,1.0,-0.7016552294121283,-1.0,-1.0,0.6274441590296853,-0.826659318198921,-0.9152526906546676
0.0,1.0,0.0,0.0,0.0,0.5444181020494787,-1.0,-0.6962039594918367,-1.0,-1.0,-1.0,0.7845267537992721,-0.9637563623777194
0.0,1.0,0.0,0.0,0.0,0.5951649167038275,-1.0,-0.6853990349104706,-1.0,-1.0,-1.0,0.7893927478017125,-0.9634674295680155
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.6853860195425749,0.4732328985590457,-0.9616438356164384,0.43242206862299115,0.8804757014708643,-0.3137375327674646
0.0,1.0,0.0,0.0,0.0,0.560516316114972,-1.0,-0.825852208328317,-1.0,-1.0,-1.0,0.816152088248773,-0.9653499701855828
0.0,1.0,0.0,0.0,0.0,0.6177952245962344,-1.0,-0.7928875352906277,-1.0,-1.0,-1.0,0.8163705824828956,-0.9648313798561353
0.0,1.0,0.0,0.0,0.0,0.5901435637536956,-1.0,-0.8464880741268586,-1.0,-1.0,-1.0,0.823548279047011,-0.9655161881802211
0.0,0.0,0.0,0.0,1.0,0.5633446356498701,-1.0,-0.8258131622246301,-1.0,-1.0,0.5128862848580213,0.8364471164342667,-0.836800828899571
1.0,0.0,0.0,0.0,0.0,0.5049811793639631,-0.8082191780821918,-0.669129825040917,-1.0,-1.0,0.4918832456475677,0.6128450816924758,-0.8786737865143108
0.0,1.0,0.0,0.0,0.0,0.5444181020494787,-1.0,-0.7929265813943147,-1.0,-1.0,-1.0,0.8073222042143027,-0.96500262729454
0.0,1.0,0.0,0.0,0.0,0.536775155414885,-1.0,-0.7179114239137863,-1.0,-1.0,-1.0,0.7888685265393158,-0.9640718219719558
0.0,1.0,0.0,0.0,0.0,0.658057455483579,-1.0,-0.8209584299995554,-1.0,-1.0,-1.0,0.826293228856117,-0.9650648094053169
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.6853860195425749,0.534072246803786,1.0,0.5814353240130308,0.9566080175479523,0.7111821538786736
0.0,1.0,0.0,0.0,0.0,0.5771455680240829,-1.0,-0.802035169693282,-1.0,-1.0,-1.0,0.8133316978883603,-0.9650377787786315
1.0,0.0,0.0,0.0,0.0,-1.0,-0.6164383561643836,-0.7090306045529926,-1.0,-1.0,0.6052530998427672,-0.1188464160409863,-0.8974518777022428
0.0,1.0,0.0,0.0,0.0,0.5714237560037407,-1.0,-0.8852153013003438,-1.0,-1.0,-1.0,0.828572077129797,-0.9659672074195217
