Deposit,Harvest,Lock,Unlock,Withdraw,amount,duration,gasUsed,lockedAmount,lockedDuration,shares,x1,x2
0.0,0.0,0.0,1.0,0.0,0.46499736604960495,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.8212741126842364,-0.966395933270583
0.0,0.0,0.0,0.0,1.0,0.5089418233345089,-1.0,-0.8689460914307903,-1.0,-1.0,0.46013676065869835,0.8385349182811438,-0.8533789117398813
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7928875352906277,0.6370695106100615,0.9999993658041604,0.6809729245536049,0.960185252435623,0.7041389189234392
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7090045738172013,0.49691769982764633,1.0,0.5455397371442787,0.9590788169596265,0.7005329237937472
1.0,0.0,0.0,0.0,0.0,0.6657034262524848,-1.0,-0.8020221543253864,-1.0,-1.0,0.722231729305491,0.8498978198141822,-0.7591503679433254
0.0,1.0,0.0,0.0,0.0,0.5998296033860273,-1.0,-0.6853730041746793,-1.0,-1.0,-1.0,0.7900707780358298,-0.963453820570333
0.0,1.0,0.0,0.0,0.0,0.666388398804088,-1.0,-0.7764263487446135,-1.0,-1.0,-1.0,0.8188252984625892,-0.9644994211009342
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7929265813943147,0.5764460271234735,0.9999965119228817,0.6223748515163214,0.962055624430324,0.6943166203377807
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7090306045529926,0.6950313997281166,-0.6164383561643836,0.6882710556016232,0.9302588610054638,-0.014277184301461332
0.0,1.0,0.0,0.0,0.0,0.5995433700842459,-1.0,-0.7974711140178766,-1.0,-1.0,-1.0,0.8151123603464556,-0.9649311709559837
0.0,1.0,0.0,0.0,0.0,0.586333946184469,-1.0,-0.8258391929604214,-1.0,-1.0,-1.0,0.8191793416909832,-0.9652933357860626
1.0,0.0,0.0,0.0,0.0,-1.0,-0.04109589041095896,-0.7764263487446135,-1.0,-1.0,0.6499498080608468,-0.6359358135220803,-0.9298432288721836
0.0,1.0,0.0,0.0,0.0,0.5444181020494787,-1.0,-0.7764263487446135,-1.0,-1.0,-1.0,0.8037084171408901,-0.9648036345588902
0.0,1.0,0.0,0.0,0.0,0.536775155414885,-1.0,-0.7637135881525444,-1.0,-1.0,-1.0,0.7998133639626503,-0.9646638811442843
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.6853730041746793,0.3569531070465628,1.0,0.4102610225915635,0.9599346492443035,0.6845129501124498
0.0,1.0,0.0,0.0,0.0,0.6271661804617208,-1.0,-0.545738714320267,-1.0,-1.0,-1.0,0.7559527266541075,-0.9610991964035627
0.0,1.0,0.0,0.0,0.0,0.5444181020494787,-1.0,-0.8020221543253864,-1.0,-1.0,-1.0,0.8092688588747966,-0.9651100308017715
1.0,0.0,0.0,0.0,0.0,0.4833846804607045,-1.0,-0.8020221543253864,-1.0,-1.0,0.5421798557244619,0.816089734497794,-0.8313247936959938
1.0,0.0,0.0,0.0,0.0,0.5378876695569526,-0.9882689624556062,-0.5822240443737277,-1.0,-1.0,0.7812235242821353,0.7515259830661182,-0.7424177121257357
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7717321393902516,0.7246463470500177,-0.6164383561643836,0.7169021047668473,0.9352098654873824,-0.011692649534453623
1.0,0.0,0.0,0.0,0.0,-1.0,-0.04109589041095896,-0.7764263487446135,-1.0,-1.0,0.5858659996073954,-0.6532115275056745,-0.9348944087068929
0.0,1.0,0.0,0.0,0.0,0.5082366566028231,-1.0,-0.6853860195425749,-1.0,-1.0,-1.0,0.775999161839541,-0.9636953457681887
1.0,0.0,0.0,0.0,0.0,0.10413000228795566,0.6644595383054288,-0.584104765034648,-1.0,-1.0,0.5078699556946795,-0.8434846552466349,-0.9312201900422482
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7090175891850969,0.4784724023034488,-0.04109589041095896,0.5049775280798954,0.9731654590598954,0.10092531328008363
0.0,1.0,0.0,0.0,0.0,0.526921683447944,-1.0,-0.797458098649981,-1.0,-1.0,-1.0,0.8060485976458844,-0.9650935674042654
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.802035169693282,0.6735927617981798,0.6997638254693048,0.711159692752968,0.9666562947579199,0.5990818828028734
1.0,0.0,0.0,0.0,0.0,0.46688356608006054,0.6548347919837645,-0.7929005506585234,-1.0,-1.0,0.5599325939560718,-0.7212883357235043,-0.936135580097764
1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.8880418053616808,-1.0,-1.0,-1.0,0.38612671371772106,-0.967526470690322
0.0,0.0,0.0,1.0,0.0,0.5614075672990144,-1.0,-0.7764263487446135,-1.0,-1.0,-1.0,0.805932235907397,-0.9647651391823963
1.0,0.0,0.0,0.0,0.0,0.5334295010308472,-1.0,-0.8020091389574907,-1.0,-1.0,0.6079314612400981,0.8269214615669394,-0.8081836566700848
0.0,1.0,0.0,0.0,0.0,0.5130339947147982,-1.0,-0.7764133333767179,-1.0,-1.0,-1.0,0.7994899314821995,-0.9648715586434404
0.0,1.0,0.0,0.0,0.0,0.6100751068845558,-1.0,-0.8209584299995554,-1.0,-1.0,-1.0,0.8209631477158772,-0.9651827970238447
0.0,1.0,0.0,0.0,0.0,0.5744040048481174,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.833023780264656,-0.9662010930418365
0.0,1.0,0.0,0.0,0.0,0.5995433700842459,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.8355354696122476,-0.9661504967850747
1.0,0.0,0.0,0.0,0.0,-1.0,-0.04109589041095896,-0.8209584299995554,-1.0,-1.0,0.62081928625321,-0.6177336860388132,-0.9334741387876452
1.0,0.0,0.0,0.0,0.0,0.6146141059655739,-0.31039586504312533,-0.7928875352906277,-1.0,-1.0,0.6641992833860066,0.2005058443318276,-0.9059931291769657
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.6853599888067836,0.5493781071112609,1.0,0.596224754021077,0.9561754242492415,0.7134315280228327
